Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
3;45;Anders Rustberggaard;;M;;;SS3;Sport;16:34;;;;OK
4;46;Jørgen Pettersson;;M;;;SS3;Sport;18:41;;;;OK
5;44;Øyvind Stormyrbrakken;;M;;;SS3;Sport;19:54;;;;OK
6;41;Thomas Haug;;M;;;SS3;Sport;20:02;;;;OK
1;2;Emil Aamil Carlson;;M;;;SS4;Menn senior;5:59;;;;OK
2;13;Erlend Hegrum Askjer;;M;;;SS4;Menn senior;6:01;;;;OK
3;1;Jostein Hole;;M;;;SS4;Menn senior;6:46;;;;OK
4;8;Martin Svendsen;;M;;;SS4;Menn senior;6:54;;;;OK
5;18;Peter Lomsdalen;;M;;;SS4;Menn senior;7:23;;;;OK
6;25;Tony Gjessvåg;;M;;;SS4;Menn senior;7:37;;;;OK
7;33;Per Christian Dahl Larsen;;M;;;SS4;Menn senior;7:38;;;;OK
8;4;Petter Bentzen;;M;;;SS4;Menn senior;7:40;;;;OK
9;30;Anders Ruud Gundersen;;M;;;SS4;Menn senior;7:46;;;;OK
10;16;Fredrik Smith;;M;;;SS4;Menn senior;8:02;;;;OK
11;5;Stian August Helletun Skarsten;;M;;;SS4;Menn senior;8:15;;;;OK
12;34;Jonas Olsson;;M;;;SS4;Menn senior;8:19;;;;OK
13;10;Simen Scharning;;M;;;SS4;Menn senior;8:21;;;;OK
14;28;Petter Fryksen Lund;;M;;;SS4;Menn senior;8:23;;;;OK
15;22;Trym Flaget;;M;;;SS4;Menn senior;8:28;;;;OK
16;3;Christian Coll;;M;;;SS4;Menn senior;8:40;;;;OK
17;12;Petter Hofsund Christiansen;;M;;;SS4;Menn senior;9:00;;;;OK
18;26;Christian Hadler;;M;;;SS4;Menn senior;9:35;;;;OK
19;15;Dirk Scholtholt;;M;;;SS4;Menn senior;9:38;;;;OK
20;32;Petter Salen;;M;;;SS4;Menn senior;9:40;;;;OK
21;17;Dimitri Georgiu;;M;;;SS4;Menn senior;9:45;;;;OK
22;31;Espen Sandengen;;M;;;SS4;Menn senior;9:49;;;;OK
23;37;Gunnar Vestholm;;M;;;SS4;Menn senior;10:17;;;;OK
24;40;Håkon Trydal;;M;;;SS4;Menn senior;10:20;;;;OK
25;23;Thomas Fleischer Wathne;;M;;;SS4;Menn senior;10:30;;;;OK
26;39;Espen Devor;;M;;;SS4;Menn senior;10:30;;;;OK
27;35;Joachim Venberget;;M;;;SS4;Menn senior;10:32;;;;OK
28;14;Geir Ottar Kvernstuen;;M;;;SS4;Menn senior;10:40;;;;OK
29;54;Elias Høyberg;;M;;;SS4;Menn senior;14:02;;;;OK
30;24;Christoffer Groseth;;M;;;SS4;Menn senior;16:37;;;;OK
31;9;Gaute Havik;;M;;;SS4;Menn senior;17:23;;;;OK
32;21;Jan Erik Heltne;;M;;;SS4;Menn senior;0;;;;DNF
33;27;Tor Erik Drangsland;;M;;;SS4;Menn senior;0;;;;DNF
34;20;Peder Heyerdahl Utne;;M;;;SS4;Menn senior;0;;;;DNF
35;29;Vegard Arnesen;;M;;;SS4;Menn senior;00:00;;;;DNF
