"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"11";"102";"Lene";"Ånonsen";"F";"NOR";"Arendal CC";"SS3";"Kvinner";"19:13.50";"14:27.80";"2014-08-23T15:49:43.5080000";"Arendal";""
"12";"103";"Beate";"Akselsen";"F";"NOR";"OSLO";"SS3";"Kvinner";"20:57.00";"16:11.30";"2014-08-23T15:51:57.0340000";"OSLO";""
"1";"1";"Jostein";"Hole";"M";"NOR";"Drammen CK / Nedre Buskerud Nerroverlag";"SS3";"Menn";"4:13.10";"0:00.00";"2014-08-23T14:44:13.1970000";"Drammen";""
"2";"4";"Øyvind";"Mæhle";"M";"NOR";"Vpg Enduro";"SS3";"Menn";"4:14.00";"0:00.90";"2014-08-23T14:45:44.0010000";"OPPDAL";""
"3";"6";"Nils Einar";"Berget";"M";"NOR";"Hallelujamafiaen";"SS3";"Menn";"4:14.50";"0:01.40";"2014-08-23T14:46:44.5710000";"VALDERØYA";""
"4";"9";"Baard Mark";"Hellebostad";"M";"NOR";"Nesodden SK";"SS3";"Menn";"4:20.70";"0:07.60";"2014-08-23T14:48:20.7710000";"BORGEN";""
"5";"120";"Snorre";"Setrom";"M";"NOR";"";"SS3";"Menn";"4:21.00";"0:07.90";"2014-08-23T14:43:51.0800000";"";""
"6";"10";"Thomas";"Klingenberg";"M";"NOR";"SK Rye sykkel / Rye";"SS3";"Menn";"4:22.10";"0:09.00";"2014-08-23T14:48:52.1460000";"Oslo";""
"7";"3";"Svenn";"Fjeldheim";"M";"NOR";"Nedre Buskerud Nerroverlag";"SS3";"Menn";"4:22.70";"0:09.60";"2014-08-23T14:45:22.7810000";"SOLBERGELVAS";""
"8";"7";"Aslak";"Mørstad";"M";"NOR";"Bjørndal IF Sykkel / Letth";"SS3";"Menn";"4:23.30";"0:10.20";"2014-08-23T14:47:23.3570000";"Oslo";""
"9";"38";"Pål";"Gimmestad";"M";"NOR";"Nordfjord Grovsyklarlaug";"SS3";"Menn";"4:26.40";"0:13.30";"2014-08-23T15:02:56.4230000";"BERGEN";""
"10";"31";"Karsten";"Hjelseth";"M";"NOR";"Tsjuub";"SS3";"Menn";"4:32.10";"0:19.00";"2014-08-23T14:59:32.1750000";"Oslo";""
"11";"8";"Øyvind";"Sætra";"M";"NOR";"Freeride Radicals";"SS3";"Menn";"4:34.00";"0:20.90";"2014-08-23T14:48:04.0410000";"Sogndal";""
