"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"137";"189";"Sigurd";"Mellemsæter";"M";"NOR";"Oppdal SK";"FE 1";"M Senior";"24:29.0";"12:54.0";"2015-05-23T12:58:29.9260000";"Lillehammer";""
"138";"135";"Rufus";"Preiss";"M";"GBR";"Kragerø SK";"FE 1";"M Senior";"25:38.0";"14:03.0";"2015-05-23T12:32:38.8890000";"Stabbestad";""
"139";"12";"Jan Helge";"Aalbu";"M";"NOR";"Sogn CK";"FE 1";"M Senior";"26:38.0";"15:03.0";"2015-05-23T11:32:08.4620000";"Sogndal";""
"140";"108";"Anders";"Samnøy";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"27:04.0";"15:29.0";"2015-05-23T12:20:34.2310000";"Oslo";""
"141";"186";"Edgars";"C?rulis";"M";"LAT";"";"FE 1";"M Senior";"28:42.0";"17:07.0";"2015-05-23T13:01:12.4470000";"";""
"142";"185";"Edgars";"Abols";"M";"LAT";"Sandnes Sykleklubb";"FE 1";"M Senior";"29:10.0";"17:35.0";"2015-05-23T13:01:10.3070000";"Taurene";""
"143";"48";"Holm";"Grimsrud";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"44:09.0";"32:34.0";"2015-05-23T12:07:39.9130000";"OSLO";""
"144";"197";"Johan- Jørgen";"Lindgaard-Strømberg";"M";"NOR";"Bærum OCK / Team Oslo Sportslager";"FE 1";"M Senior";"0:00.0";"";"";"Strømmen";""
"145";"80";"Fredrik";"Arnesen";"M";"NOR";"MOSS";"FE 1";"M Senior";"0:00.0";"";"";"Moss";""
"145";"178";"Björn";"Asplund";"M";"NOR";"OSLO";"FE 1";"M Senior";"0:00.0";"";"";"Oslo";""
"145";"169";"Christoffer E";"Bakke";"M";"NOR";"Soon CK";"FE 1";"M Senior";"0:00.0";"";"";"HØLEN";""
"145";"99";"Stian";"Bergeland";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"145";"165";"Philip Johannessen";"Bjørkesett";"M";"NOR";"IK Hero";"FE 1";"M Senior";"0:00.0";"";"";"Fornebu";""
"145";"124";"Trond";"Brudeseth";"M";"NOR";"Axess";"FE 1";"M Senior";"0:00.0";"";"";"MOLDE";""
"145";"84";"Vidar";"Folden";"M";"NOR";"OSLO";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"145";"65";"Thomas";"Gajda Asbjørnhus";"M";"NOR";"Drammen CK";"FE 1";"M Senior";"0:00.0";"";"";"DRAMMEN";""
"145";"139";"Odd Magnus";"Guldal";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"0:00.0";"";"";"Oslo";""
"145";"137";"Rune";"Gundersen";"M";"NOR";"Bærum OCK";"FE 1";"M Senior";"0:00.0";"";"";"VOGNILL";""
"145";"156";"Even";"Hægland";"M";"NOR";"CK Henie";"FE 1";"M Senior";"0:00.0";"";"";"Os";""
"145";"64";"Niklas";"Halvorsen";"M";"NOR";"KRISTIANSAND S";"FE 1";"M Senior";"0:00.0";"";"";"Kristiansand S";""
"145";"86";"Sindre";"Hansen";"M";"NOR";"BERGEN";"FE 1";"M Senior";"0:00.0";"";"";"BERGEN";""
"145";"167";"Klaus Jørgen";"Kjærnet";"M";"NOR";"Hurtigruta Carglass AS";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"145";"32";"Thomas";"Klingenberg";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"0:00.0";"";"";"Oslo";""
"145";"116";"Johannes Dvorak";"Lagos";"M";"NOR";"Bjørndal IF Sykkel / Probike/ Ibis Cycles";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"145";"66";"Sven";"Leininger";"M";"NOR";"Bergen MTB Klubb";"FE 1";"M Senior";"0:00.0";"";"";"BERGEN";""
"145";"147";"Jon";"Lindgren";"M";"SWE";"Göteborgs Stigcyklister";"FE 1";"M Senior";"0:00.0";"";"";"Göteborg";""
"145";"173";"Terje";"Løvstad";"M";"NOR";"Romeriksåsen SK / Outdoorsport-Qloom";"FE 1";"M Senior";"0:00.0";"";"";"Gjerdrum";""
"145";"75";"John";"Magee";"M";"NOR";"Statoil";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"145";"37";"Pål";"Neverdal";"M";"NOR";"Hemsedal IL Sykkel / Trail Cartel";"FE 1";"M Senior";"0:00.0";"";"";"OSLO";""
"145";"168";"Kim";"Norgård";"M";"NOR";"IK Hero / Birk Sport";"FE 1";"M Senior";"0:00.0";"";"";"Oslo";""
"145";"157";"Aleksander";"Østerhus";"M";"NOR";"Kristiansands CK";"FE 1";"M Senior";"0:00.0";"";"";"Kristiansand";""
"145";"92";"Henrik";"Sagen";"M";"NOR";"BERGEN";"FE 1";"M Senior";"0:00.0";"";"";"bergen";""
