Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
73;;Lars Tveito;;M;;;SS2;Menn senior;07:43;;;;OK
74;;Trygve Nyborg;;M;;;SS2;Menn senior;07:43;;;;OK
75;;Tom Ruud;;M;;;SS2;Menn senior;07:44;;;;OK
76;;Mads Øftshus;;M;;;SS2;Menn senior;07:49;;;;OK
77;;Anders Disen;;M;;;SS2;Menn senior;07:54;;;;OK
78;;Frank Seidel;;M;;;SS2;Menn senior;07:55;;;;OK
79;;Stian Carlsen;;M;;;SS2;Menn senior;07:56;;;;OK
80;;Geir Jørgensen;;M;;;SS2;Menn senior;07:57;;;;OK
81;;Nils Mo Storaas;;M;;;SS2;Menn senior;07:59;;;;OK
82;;Herman Christoffersen;;M;;;SS2;Menn senior;08:03;;;;OK
83;;Ola Trandum Gilhuus;;M;;;SS2;Menn senior;08:03;;;;OK
84;;Geir Bjørndalen;;M;;;SS2;Menn senior;08:12;;;;OK
85;;Lasse Storholt;;M;;;SS2;Menn senior;08:13;;;;OK
86;;Herman Ingebretsen;;M;;;SS2;Menn senior;08:15;;;;OK
87;;Henning Hovland;;M;;;SS2;Menn senior;08:16;;;;OK
88;;Fredrik Lingvall;;M;;;SS2;Menn senior;08:17;;;;OK
89;;Fredrik Tøien;;M;;;SS2;Menn senior;08:22;;;;OK
90;;Per-Ivar Weydahl;;M;;;SS2;Menn senior;08:26;;;;OK
91;;Erik Nilsen;;M;;;SS2;Menn senior;08:45;;;;OK
92;;Oskar Brodin;;M;;;SS2;Menn senior;09:10;;;;OK
93;;Henrik Moberg;;M;;;SS2;Menn senior;09:11;;;;OK
94;;Jan Henrik Høilund;;M;;;SS2;Menn senior;09:11;;;;OK
95;;Håkon Døsrønningen;;M;;;SS2;Menn senior;09:25;;;;OK
96;;Aleksander Østerhus;;M;;;SS2;Menn senior;09:40;;;;OK
97;;Tommy Strandvold;;M;;;SS2;Menn senior;09:49;;;;OK
98;;Marcin Żelazo;;M;;;SS2;Menn senior;09:52;;;;OK
99;;Mats Kristian Svendsen;;M;;;SS2;Menn senior;09:57;;;;OK
100;;Håvard Rygg;;M;;;SS2;Menn senior;09:57;;;;OK
101;;Marcin Cypryjan;;M;;;SS2;Menn senior;10:28;;;;OK
102;;Hans Christian Kåsen;;M;;;SS2;Menn senior;11:59;;;;OK
103;;Harald Andreas Holmefjord;;M;;;SS2;Menn senior;12:40;;;;OK
104;;Adrian Czajkowski;;M;;;SS2;Menn senior;13:30;;;;OK
105;;Karsten Hjelseth;;M;;;SS2;Menn senior;20:49;;;;OK
1;;Zakarias Johansen;;M;;;SS3;Menn senior;03:04;;;;OK
2;;Espen Bergli-johnsen;;M;;;SS3;Menn senior;03:11;;;;OK
3;;Bård Stærkebye Pettersen;;M;;;SS3;Menn senior;03:19;;;;OK
4;;Magnus Sørli;;M;;;SS3;Menn senior;03:23;;;;OK
5;;Preben Alexander Nøkleby;;M;;;SS3;Menn senior;03:24;;;;OK
6;;Adrian Hilde;;M;;;SS3;Menn senior;03:24;;;;OK
7;;Jon Bokrantz;;M;;;SS3;Menn senior;03:26;;;;OK
8;;Manfred Kronbrink;;M;;;SS3;Menn senior;03:30;;;;OK
9;;Björn Larsson;;M;;;SS3;Menn senior;03:33;;;;OK
10;;Per Henrik Thorp;;M;;;SS3;Menn senior;03:33;;;;OK
11;;Niklas Halvorsen;;M;;;SS3;Menn senior;03:33;;;;OK
12;;Joar Sørvik Solem;;M;;;SS3;Menn senior;03:34;;;;OK
13;;Lars Sandviken;;M;;;SS3;Menn senior;03:35;;;;OK
14;;Joachim Ski Torp;;M;;;SS3;Menn senior;03:40;;;;OK
15;;Øyvind Sætra;;M;;;SS3;Menn senior;03:40;;;;OK
16;;Albin Littorin-Sandbu;;M;;;SS3;Menn senior;03:41;;;;OK
17;;Anton Karlsson;;M;;;SS3;Menn senior;03:41;;;;OK
18;;Simon Johansson;;M;;;SS3;Menn senior;03:42;;;;OK
19;;Pål Nakken;;M;;;SS3;Menn senior;03:43;;;;OK
20;;Ole Christian Fagerli;;M;;;SS3;Menn senior;03:45;;;;OK
21;;Bjørn Ballangrud;;M;;;SS3;Menn senior;03:45;;;;OK
22;;Erlend Hegrum Askjer;;M;;;SS3;Menn senior;03:45;;;;OK
23;;Martin Haugo;;M;;;SS3;Menn senior;03:46;;;;OK
24;;Aslak Mørstad;;M;;;SS3;Menn senior;03:47;;;;OK
25;;Baard Hellebostad;;M;;;SS3;Menn senior;03:47;;;;OK
26;;Nicklas Fastegård;;M;;;SS3;Menn senior;03:50;;;;OK
27;;Henrik Ulleland;;M;;;SS3;Menn senior;03:50;;;;OK
28;;Michael Cook;;M;;;SS3;Menn senior;03:51;;;;OK
29;;Magnus Grönberg;;M;;;SS3;Menn senior;03:53;;;;OK
30;;Tom Custers Nedrebø;;M;;;SS3;Menn senior;03:53;;;;OK
31;;Ole André Tveit;;M;;;SS3;Menn senior;03:54;;;;OK
32;;Stig Ove Simensen;;M;;;SS3;Menn senior;03:56;;;;OK
33;;Severin Poppe;;M;;;SS3;Menn senior;03:58;;;;OK
34;;Torfinn Dahl;;M;;;SS3;Menn senior;03:58;;;;OK
35;;Anders Veland;;M;;;SS3;Menn senior;03:59;;;;OK
36;;Pål Grotnes;;M;;;SS3;Menn senior;03:59;;;;OK
37;;Marcio Franco;;M;;;SS3;Menn senior;04:00;;;;OK
38;;Jonas Franzén;;M;;;SS3;Menn senior;04:01;;;;OK
39;;Daniel Bengtsson;;M;;;SS3;Menn senior;04:01;;;;OK
40;;Kenneth Bjørseth;;M;;;SS3;Menn senior;04:01;;;;OK
41;;Jon Vegar Aga Kjærgaard;;M;;;SS3;Menn senior;04:04;;;;OK
42;;Thomas Henriksen;;M;;;SS3;Menn senior;04:06;;;;OK
43;;Ola Trandum Gilhuus;;M;;;SS3;Menn senior;04:08;;;;OK
44;;Andre Aamodt;;M;;;SS3;Menn senior;04:09;;;;OK
45;;Lars Amdal;;M;;;SS3;Menn senior;04:10;;;;OK
46;;Morgan Bakken;;M;;;SS3;Menn senior;04:11;;;;OK
47;;Anders Kielland;;M;;;SS3;Menn senior;04:11;;;;OK
48;;Espen Kebely;;M;;;SS3;Menn senior;04:12;;;;OK
49;;Herman Christoffersen;;M;;;SS3;Menn senior;04:12;;;;OK
50;;Michal Wiecyk;;M;;;SS3;Menn senior;04:13;;;;OK
51;;Sindre Lidsheim;;M;;;SS3;Menn senior;04:13;;;;OK
52;;Harald Brekke;;M;;;SS3;Menn senior;04:13;;;;OK
53;;Jørgen Heir;;M;;;SS3;Menn senior;04:14;;;;OK
54;;Mads Øftshus;;M;;;SS3;Menn senior;04:15;;;;OK
55;;Fredrik Smith;;M;;;SS3;Menn senior;04:18;;;;OK
56;;Gaute Birkeland Kjellsen;;M;;;SS3;Menn senior;04:19;;;;OK
57;;Lars Tveito;;M;;;SS3;Menn senior;04:20;;;;OK
58;;Frank Jonny Brenno;;M;;;SS3;Menn senior;04:22;;;;OK
59;;Herman Ingebretsen;;M;;;SS3;Menn senior;04:24;;;;OK
60;;Øyvind Hem;;M;;;SS3;Menn senior;04:25;;;;OK
61;;Trygve Nyborg;;M;;;SS3;Menn senior;04:25;;;;OK
62;;Rune Tangen;;M;;;SS3;Menn senior;04:26;;;;OK
63;;Leiv Tvenning;;M;;;SS3;Menn senior;04:26;;;;OK
64;;Magnus Kalstad Forseth;;M;;;SS3;Menn senior;04:27;;;;OK
65;;Petter Fyksen Lund;;M;;;SS3;Menn senior;04:31;;;;OK
66;;Martin Myrvang;;M;;;SS3;Menn senior;04:35;;;;OK
67;;Hans Jørgen Kvåle;;M;;;SS3;Menn senior;04:35;;;;OK
68;;Andreas Gjærde;;M;;;SS3;Menn senior;04:36;;;;OK
69;;Viktor Linnerö;;M;;;SS3;Menn senior;04:36;;;;OK
70;;Ronnie Hansen;;M;;;SS3;Menn senior;04:38;;;;OK
71;;Lasse Storholt;;M;;;SS3;Menn senior;04:38;;;;OK
72;;Mark Basso;;M;;;SS3;Menn senior;04:39;;;;OK
73;;Thomas Ramstad;;M;;;SS3;Menn senior;04:39;;;;OK
74;;Ola Myklatun Krosness;;M;;;SS3;Menn senior;04:41;;;;OK
75;;Tom Ruud;;M;;;SS3;Menn senior;04:41;;;;OK
76;;Petter Anthonsen;;M;;;SS3;Menn senior;04:41;;;;OK
77;;Frank Seidel;;M;;;SS3;Menn senior;04:43;;;;OK
78;;Geir Ottar Kvernstuen;;M;;;SS3;Menn senior;04:43;;;;OK
79;;Stian Carlsen;;M;;;SS3;Menn senior;04:48;;;;OK
80;;Nils Mo Storaas;;M;;;SS3;Menn senior;04:52;;;;OK
81;;Kristian Hauglum;;M;;;SS3;Menn senior;04:56;;;;OK
82;;Henning Hovland;;M;;;SS3;Menn senior;04:58;;;;OK
83;;Geir Bjørndalen;;M;;;SS3;Menn senior;04:59;;;;OK
84;;Fredrik Lingvall;;M;;;SS3;Menn senior;05:00;;;;OK
85;;Anders Disen;;M;;;SS3;Menn senior;05:00;;;;OK
86;;Karsten Hjelseth;;M;;;SS3;Menn senior;05:01;;;;OK
87;;Geir Jørgensen;;M;;;SS3;Menn senior;05:10;;;;OK
88;;Fredrik Tøien;;M;;;SS3;Menn senior;05:26;;;;OK
89;;Oskar Brodin;;M;;;SS3;Menn senior;05:26;;;;OK
90;;Tommy Strandvold;;M;;;SS3;Menn senior;05:53;;;;OK
91;;Mats Kristian Svendsen;;M;;;SS3;Menn senior;05:53;;;;OK
92;;Håkon Døsrønningen;;M;;;SS3;Menn senior;05:56;;;;OK
93;;Henrik Moberg;;M;;;SS3;Menn senior;06:05;;;;OK
94;;Jan Henrik Høilund;;M;;;SS3;Menn senior;06:11;;;;OK
95;;Marcin Cypryjan;;M;;;SS3;Menn senior;06:16;;;;OK
96;;Erik Nilsen;;M;;;SS3;Menn senior;06:18;;;;OK
97;;Håvard Rygg;;M;;;SS3;Menn senior;06:26;;;;OK
98;;Per-Ivar Weydahl;;M;;;SS3;Menn senior;06:43;;;;OK
99;;Aleksander Østerhus;;M;;;SS3;Menn senior;07:03;;;;OK
100;;Marcin Żelazo;;M;;;SS3;Menn senior;07:32;;;;OK
101;;Hans Christian Kåsen;;M;;;SS3;Menn senior;07:36;;;;OK
102;;Harald Andreas Holmefjord;;M;;;SS3;Menn senior;07:56;;;;OK
103;;Adrian Czajkowski;;M;;;SS3;Menn senior;09:33;;;;OK
104;;Oscar Schiøtz Smith;;M;;;SS3;Menn senior;09:59;;;;OK
105;;Simen Aaslestad;;M;;;SS3;Menn senior;14:15;;;;OK
1;1;Anette Røssum Bastnes;;F;;;SS1;Kvinner senior;09:54;;;;OK
2;5;Vera Leivsdottir;;F;;;SS1;Kvinner senior;09:55;;;;OK
3;8;Hilde Strædet;;F;;;SS1;Kvinner senior;10:01;;;;OK
4;2;Helene Thon Moland;;F;;;SS1;Kvinner senior;10:15;;;;OK
5;3;Alice Grindheim;;F;;;SS1;Kvinner senior;10:19;;;;OK
6;12;Ida Håkonsson;;F;;;SS1;Kvinner senior;10:49;;;;OK
7;10;Elin Berg;;F;;;SS1;Kvinner senior;11:09;;;;OK
8;6;Anne Melbø;;F;;;SS1;Kvinner senior;11:16;;;;OK
9;14;Susanne Beijer;;F;;;SS1;Kvinner senior;11:16;;;;OK
10;13;Mari Guton;;F;;;SS1;Kvinner senior;14:07;;;;OK
11;9;Emily Benham;;F;;;SS1;Kvinner senior;14:40;;;;OK
1;12;Ida Håkonsson;;F;;;SS2;Kvinner senior;07:32;;;;OK
2;1;Anette Røssum Bastnes;;F;;;SS2;Kvinner senior;07:37;;;;OK
3;8;Hilde Strædet;;F;;;SS2;Kvinner senior;07:39;;;;OK
4;2;Helene Thon Moland;;F;;;SS2;Kvinner senior;07:49;;;;OK
5;3;Alice Grindheim;;F;;;SS2;Kvinner senior;07:59;;;;OK
6;10;Elin Berg;;F;;;SS2;Kvinner senior;08:06;;;;OK
7;5;Vera Leivsdottir;;F;;;SS2;Kvinner senior;08:14;;;;OK
8;6;Anne Melbø;;F;;;SS2;Kvinner senior;08:26;;;;OK
9;9;Emily Benham;;F;;;SS2;Kvinner senior;09:12;;;;OK
10;14;Susanne Beijer;;F;;;SS2;Kvinner senior;09:19;;;;OK
11;13;Mari Guton;;F;;;SS2;Kvinner senior;10:04;;;;OK
1;8;Hilde Strædet;;F;;;SS3;Kvinner senior;04:11;;;;OK
2;5;Vera Leivsdottir;;F;;;SS3;Kvinner senior;04:16;;;;OK
3;3;Alice Grindheim;;F;;;SS3;Kvinner senior;04:19;;;;OK
4;2;Helene Thon Moland;;F;;;SS3;Kvinner senior;04:20;;;;OK
5;1;Anette Røssum Bastnes;;F;;;SS3;Kvinner senior;04:36;;;;OK
6;6;Anne Melbø;;F;;;SS3;Kvinner senior;04:45;;;;OK
7;14;Susanne Beijer;;F;;;SS3;Kvinner senior;04:46;;;;OK
8;10;Elin Berg;;F;;;SS3;Kvinner senior;04:56;;;;OK
9;13;Mari Guton;;F;;;SS3;Kvinner senior;05:54;;;;OK
10;12;Ida Håkonsson;;F;;;SS3;Kvinner senior;05:59;;;;OK
11;9;Emily Benham;;F;;;SS3;Kvinner senior;07:00;;;;OK
